,left
76,1
13739,0
13198,0
1770,1
3057,0
2491,0
4643,0
4693,0
3709,0
14515,1
359,1
5634,0
13923,0
12616,1
1586,1
4394,0
3740,0
3610,0
6877,0
694,1
1658,1
9385,0
9498,0
3477,0
11339,0
403,1
270,1
12842,0
8243,0
2107,0
13232,0
7098,0
11793,0
6939,0
1305,1
14297,1
9660,0
2759,0
11754,0
6629,0
13328,0
7505,0
11640,0
7007,0
1881,1
2699,0
2628,0
12162,1
5767,0
4933,0
7472,0
8732,0
7217,0
3175,0
9575,0
12158,1
8883,0
1698,1
5417,0
11097,0
3270,0
11694,0
464,1
11620,0
3101,0
11631,0
9395,0
7557,0
5153,0
7915,0
11170,0
4695,0
7002,0
11290,0
14285,1
4732,0
14487,1
5981,0
111,1
11146,0
182,1
11587,0
6028,0
11597,0
9764,0
11196,0
1927,1
3357,0
3073,0
10122,0
442,1
7425,0
8319,0
1293,1
5529,0
7314,0
3825,0
11235,0
514,1
2762,0
5253,0
14266,1
3810,0
5482,0
11976,0
3261,0
7044,0
13470,0
12873,0
4369,0
8492,0
971,1
5087,0
14345,1
2648,0
11382,0
13973,0
13949,0
10740,0
6605,0
2162,0
12367,1
1865,1
10796,0
13500,0
2541,0
11737,0
11454,0
109,1
13792,0
2275,0
4571,0
11727,0
3877,0
11559,0
7318,0
5172,0
3544,0
3841,0
8163,0
11347,0
14943,1
10436,0
14203,0
2953,0
11800,0
9910,0
8831,0
6197,0
9115,0
6110,0
6102,0
2933,0
5456,0
3181,0
7763,0
1046,1
4517,0
10308,0
14903,1
12173,1
11938,0
7559,0
5780,0
10522,0
7464,0
3064,0
13233,0
10443,0
14592,1
1958,1
5891,0
12431,1
7461,0
9345,0
14268,1
5110,0
11742,0
4527,0
8601,0
7737,0
9098,0
8311,0
7614,0
7895,0
6707,0
3904,0
13757,0
9104,0
1432,1
13765,0
10793,0
3678,0
11485,0
14270,1
11219,0
11120,0
12213,1
1366,1
520,1
1414,1
11407,0
3715,0
12847,0
8999,0
2390,0
10029,0
13715,0
6401,0
9703,0
9071,0
715,1
3486,0
9372,0
3063,0
4115,0
2875,0
5003,0
10460,0
4735,0
14770,1
7863,0
49,1
9036,0
10446,0
6132,0
2619,0
387,1
558,1
8217,0
6656,0
11126,0
10452,0
13318,0
3514,0
3624,0
8934,0
4791,0
5549,0
3469,0
10964,0
10120,0
3349,0
8875,0
12377,1
8302,0
8920,0
6049,0
1810,1
6328,0
5283,0
13498,0
11280,0
10890,0
7140,0
4213,0
4964,0
7810,0
14839,1
6765,0
2058,0
11592,0
2538,0
13068,0
13046,0
2778,0
3730,0
8032,0
4051,0
6788,0
9441,0
6576,0
14976,1
10079,0
4083,0
915,1
14815,1
5784,0
7329,0
407,1
12234,1
224,1
11540,0
14942,1
7840,0
13001,0
12068,1
9772,0
1093,1
13272,0
591,1
6515,0
8270,0
11398,0
11732,0
9308,0
1452,1
4012,0
14950,1
1407,1
2250,0
10439,0
1090,1
7308,0
11777,0
1190,1
6061,0
2594,0
13056,0
12435,1
2266,0
9823,0
3022,0
7742,0
4972,0
14255,1
6720,0
2411,0
3927,0
6069,0
11823,0
2461,0
3450,0
1897,1
12444,1
10752,0
2446,0
5397,0
14046,0
5300,0
6340,0
1066,1
9464,0
7518,0
6602,0
5351,0
13617,0
2669,0
3554,0
2757,0
538,1
4219,0
3737,0
11405,0
1511,1
7081,0
797,1
10604,0
5544,0
2837,0
4744,0
1219,1
12791,0
9943,0
10235,0
4683,0
8761,0
5779,0
1622,1
129,1
13627,0
9030,0
10157,0
1456,1
13805,0
3009,0
7862,0
2922,0
14941,1
7730,0
6377,0
5431,0
2481,0
11411,0
12542,1
214,1
14863,1
4614,0
4447,0
8534,0
1081,1
9850,0
684,1
10685,0
5223,0
6658,0
9624,0
14737,1
13336,0
9708,0
2534,0
2489,0
2703,0
391,1
5508,0
6121,0
11822,0
9685,0
13762,0
4358,0
9716,0
5049,0
5563,0
3250,0
9801,0
6099,0
979,1
7628,0
10568,0
5675,0
753,1
13641,0
688,1
315,1
2471,0
2027,0
6559,0
5365,0
14481,1
7011,0
8028,0
85,1
3369,0
3990,0
10969,0
6414,0
14681,1
6932,0
12991,0
2495,0
6217,0
5479,0
4223,0
13886,0
8946,0
1471,1
14306,1
316,1
5739,0
8036,0
14969,1
5035,0
12314,1
12751,1
14085,0
7758,0
5368,0
5329,0
9109,0
9666,0
4251,0
9633,0
8193,0
933,1
7282,0
2152,0
3038,0
7359,0
928,1
2007,0
2718,0
10769,0
317,1
9166,0
8392,0
3370,0
6364,0
1345,1
12863,0
8353,0
3750,0
7700,0
11588,0
11595,0
13195,0
1198,1
5463,0
10309,0
11913,0
3574,0
10750,0
3951,0
10706,0
14480,1
12649,1
12381,1
9797,0
13376,0
5444,0
10164,0
14503,1
10350,0
3786,0
8301,0
10113,0
10839,0
14068,0
10160,0
6128,0
964,1
3817,0
3040,0
9640,0
14931,1
217,1
8117,0
9337,0
1215,1
9710,0
9779,0
9110,0
3580,0
10698,0
1340,1
12207,1
9252,0
7956,0
13797,0
6039,0
12650,1
1666,1
262,1
8038,0
7067,0
5249,0
10372,0
13560,0
4009,0
10953,0
6430,0
14228,1
11626,0
8597,0
9856,0
8297,0
14106,0
510,1
10165,0
9788,0
5875,0
4216,0
5225,0
12393,1
9080,0
13822,0
12769,1
624,1
2156,0
522,1
6272,0
14930,1
12241,1
11091,0
7047,0
13185,0
5512,0
10448,0
5146,0
10219,0
213,1
14686,1
8510,0
10267,0
8472,0
8179,0
5658,0
9311,0
565,1
5097,0
8113,0
5336,0
9992,0
12391,1
7597,0
6964,0
1030,1
14644,1
13843,0
13808,0
12587,1
10538,0
1708,1
6956,0
1155,1
1280,1
8888,0
14944,1
14544,1
13785,0
1923,1
10884,0
3839,0
3538,0
12465,1
1899,1
13293,0
14726,1
3499,0
3732,0
11753,0
1949,1
2592,0
7225,0
8759,0
7096,0
7833,0
8280,0
340,1
10896,0
2745,0
14492,1
9736,0
3823,0
13099,0
9365,0
9077,0
966,1
2547,0
2425,0
12215,1
6163,0
3816,0
3289,0
2814,0
4670,0
7768,0
9120,0
12875,0
2185,0
3690,0
13638,0
14699,1
1245,1
1637,1
12699,1
5643,0
1534,1
9425,0
7996,0
2557,0
3028,0
13534,0
12202,1
7141,0
7215,0
41,1
11569,0
10329,0
1727,1
1492,1
5362,0
6884,0
10613,0
2344,0
8283,0
11278,0
12468,1
8185,0
3092,0
7824,0
9190,0
10089,0
787,1
13452,0
1108,1
7771,0
9437,0
14138,0
808,1
14563,1
11370,0
7381,0
11254,0
4655,0
13229,0
4495,0
11907,0
805,1
9274,0
11048,0
6696,0
3706,0
12716,1
6231,0
3961,0
13986,0
14413,1
7696,0
4829,0
1706,1
6688,0
12102,1
1427,1
10723,0
10270,0
12319,1
2593,0
8779,0
10924,0
5812,0
12785,0
6286,0
822,1
10154,0
5683,0
13197,0
8586,0
2395,0
10333,0
5284,0
7511,0
13327,0
1343,1
13049,0
7206,0
12905,0
7168,0
5571,0
6569,0
9253,0
5575,0
7531,0
12139,1
12402,1
4101,0
5976,0
8465,0
2806,0
5638,0
140,1
5072,0
105,1
103,1
7499,0
14615,1
710,1
6639,0
7284,0
5525,0
4117,0
1225,1
6664,0
1644,1
13939,0
4424,0
582,1
6799,0
2963,0
10908,0
9156,0
13015,0
14086,0
898,1
11858,0
4878,0
1485,1
9351,0
10003,0
11354,0
7978,0
10438,0
3459,0
551,1
6093,0
8962,0
4954,0
2462,0
13684,0
8139,0
11505,0
6724,0
6201,0
13171,0
4700,0
10855,0
4897,0
3164,0
1873,1
4257,0
4381,0
9188,0
3385,0
7481,0
12554,1
66,1
11869,0
4302,0
14566,1
8930,0
2810,0
12581,1
1722,1
8515,0
7335,0
10536,0
10687,0
3287,0
8061,0
1888,1
7304,0
1813,1
12729,1
11898,0
13657,0
14917,1
11197,0
13405,0
7036,0
10911,0
2157,0
7439,0
2188,0
3950,0
14334,1
14044,0
7405,0
12980,0
4015,0
3442,0
5617,0
14993,1
11357,0
3337,0
14807,1
10529,0
2417,0
12640,1
3985,0
764,1
5206,0
3104,0
14719,1
1773,1
7857,0
7160,0
1048,1
11634,0
8295,0
8537,0
13599,0
11840,0
2711,0
3085,0
2688,0
5343,0
8412,0
14578,1
3508,0
11784,0
13301,0
9609,0
14283,1
4061,0
1482,1
5759,0
13543,0
4786,0
7114,0
3970,0
11577,0
2691,0
2006,0
8676,0
14540,1
8373,0
5321,0
4967,0
13550,0
3230,0
57,1
5755,0
7099,0
4252,0
7541,0
8602,0
2473,0
985,1
13596,0
11648,0
6533,0
9819,0
5075,0
10712,0
4067,0
11095,0
1731,1
12050,1
1274,1
13057,0
11147,0
5341,0
280,1
9986,0
5865,0
9906,0
1355,1
11004,0
6277,0
7950,0
12089,1
14745,1
14182,0
13969,0
6,1
13697,0
13013,0
13647,0
8462,0
11821,0
12418,1
4579,0
6378,0
5389,0
9162,0
12194,1
12170,1
1811,1
11652,0
17,1
8967,0
14890,1
11846,0
8304,0
8773,0
4994,0
6166,0
10179,0
12359,1
5764,0
9131,0
439,1
1041,1
14862,1
12237,1
7342,0
11489,0
2488,0
11270,0
5524,0
10991,0
4873,0
2861,0
5792,0
14900,1
13528,0
10437,0
917,1
12130,1
2667,0
2880,0
11237,0
9329,0
1563,1
1037,1
6327,0
10520,0
8307,0
10528,0
1701,1
12734,1
12837,0
11031,0
6737,0
2239,0
1077,1
43,1
5303,0
8649,0
8842,0
8857,0
10795,0
9014,0
10978,0
2848,0
11060,0
741,1
4072,0
7143,0
924,1
1379,1
12145,1
14417,1
10549,0
5337,0
3479,0
14402,1
2777,0
4195,0
7501,0
5834,0
4068,0
2921,0
13023,0
11285,0
1419,1
2168,0
9492,0
4311,0
10115,0
5590,0
6370,0
10966,0
2246,0
10915,0
4651,0
7187,0
1008,1
4440,0
11260,0
10258,0
11748,0
3627,0
14741,1
2265,0
8288,0
9180,0
2881,0
5276,0
10387,0
1428,1
7790,0
8066,0
7131,0
8065,0
6210,0
13519,0
13404,0
9339,0
1281,1
2958,0
14657,1
7347,0
1475,1
4838,0
1416,1
7645,0
8751,0
3324,0
13817,0
3051,0
594,1
12918,0
6252,0
13513,0
14123,0
6589,0
9237,0
13357,0
14435,1
5091,0
5366,0
11165,0
4455,0
14821,1
12424,1
1601,1
3963,0
14991,1
6150,0
7821,0
8033,0
5265,0
7221,0
2231,0
6238,0
3182,0
10846,0
821,1
750,1
5800,0
9151,0
5519,0
998,1
9866,0
1324,1
9165,0
8385,0
8692,0
2449,0
260,1
7964,0
7694,0
7662,0
13104,0
2202,0
3187,0
10163,0
14097,0
2709,0
2134,0
10965,0
6096,0
266,1
6997,0
2842,0
11609,0
13745,0
4487,0
7952,0
13441,0
6810,0
8583,0
11655,0
14144,0
4820,0
11487,0
13668,0
12056,1
2442,0
9254,0
13107,0
9020,0
13160,0
10632,0
2127,0
11409,0
10913,0
11244,0
6396,0
1229,1
6314,0
10105,0
5576,0
8605,0
4343,0
4635,0
3761,0
4007,0
14368,1
14524,1
13737,0
11936,0
488,1
9051,0
3774,0
2073,0
4591,0
2009,0
177,1
7147,0
7009,0
4979,0
7057,0
14727,1
6232,0
12470,1
13286,0
7757,0
11030,0
10266,0
2329,0
7959,0
